Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
,Cameroon,14/11/2022 04:21,3.848,11.5021,123993,1965,,,Cameroon,467.0897131,1.584766882
Alberta,Canada,14/11/2022 04:21,53.9333,-116.5765,615359,5093,,,"Alberta, Canada",13943.77163,0.827646951
British Columbia,Canada,14/11/2022 04:21,53.7267,-127.6476,388497,4552,,,"British Columbia, Canada",7601.316946,1.17169502
Diamond Princess,Canada,21/12/2020 13:27,,,0,1,,,"Diamond Princess, Canada",,
Grand Princess,Canada,21/12/2020 13:27,,,13,0,,,"Grand Princess, Canada",,0
Manitoba,Canada,14/11/2022 04:21,53.7609,-98.8139,152072,2256,,,"Manitoba, Canada",11039.57338,1.483507812
New Brunswick,Canada,14/11/2022 04:21,46.5653,-66.4619,80715,592,,,"New Brunswick, Canada",10348.16979,0.733444837
Newfoundland and Labrador,Canada,14/11/2022 04:21,53.1355,-57.6604,52802,257,,,"Newfoundland and Labrador, Canada",10127.6457,0.486723988
Northwest Territories,Canada,14/11/2022 04:21,64.8255,-124.8457,11511,22,,,"Northwest Territories,Canada",25634.68733,0.191121536
Nova Scotia,Canada,14/11/2022 04:21,44.682,-63.7443,130534,598,,,"Nova Scotia, Canada",13354.44935,0.458118191
Nunavut,Canada,14/11/2022 04:21,70.2998,-83.1076,3531,7,,,"Nunavut, Canada",9105.208871,0.198244123
Ontario,Canada,14/11/2022 04:21,51.2538,-85.3232,1524340,15023,,,"Ontario, Canada",10361.32358,0.985541283
Prince Edward Island,Canada,14/11/2022 04:21,46.5107,-63.4168,53888,69,,,"Prince Edward Island, Canada",34072.25686,0.128043349
Quebec,Canada,14/11/2022 04:21,52.9399,-73.5491,1238219,17176,,,"Quebec, Canada",14503.00164,1.387153646
Repatriated Travellers,Canada,14/11/2022 04:21,,,13,0,,,"Repatriated Travellers, Canada",,0
Saskatchewan,Canada,14/11/2022 04:21,52.9399,-106.4509,146888,1604,,,"Saskatchewan, Canada",12430.58529,1.091988454
Yukon,Canada,14/11/2022 04:21,64.2823,-135,4989,32,,,"Yukon, Canada",12145.1872,0.641411104
,Central African Republic,14/11/2022 04:21,6.6111,20.9394,15289,113,,,Central African Republic,316.5579105,0.739093466
,Chad,14/11/2022 04:21,15.4542,18.7322,7631,194,,,Chad,46.45723551,2.542261827
Antofagasta,Chile,14/11/2022 04:21,-23.6509,-70.3975,170421,1903,,,"Antofagasta, Chile",28051.26956,1.116646423
Araucania,Chile,14/11/2022 04:21,-38.9489,-72.3311,278210,2777,,,"Araucania, Chile",29064.25246,0.998166852
Arica y Parinacota,Chile,14/11/2022 04:21,-18.594,-69.4785,73924,868,,,"Arica y Parinacota, Chile",32699.89561,1.174178886
Atacama,Chile,14/11/2022 04:21,-27.5661,-70.0503,105419,686,,,"Atacama, Chile",36484.23224,0.650736584
Aysen,Chile,14/11/2022 04:21,-45.9864,-73.7669,33310,205,,,"Aysen, Chile",32290.27317,0.615430802
Biobio,Chile,14/11/2022 04:21,-37.4464,-72.1416,477965,4622,,,"Biobio, Chile",30701.66142,0.967016413
Coquimbo,Chile,14/11/2022 04:21,-29.959,-71.3389,193786,1864,,,"Coquimbo, Chile",25579.40617,0.961885792
Los Lagos,Chile,14/11/2022 04:21,-41.9198,-72.1416,230978,2461,,,"Los Lagos, Chile",27872.06109,1.065469439
Los Rios,Chile,14/11/2022 04:21,-40.231,-72.3311,137353,1341,,,"Los Rios, Chile",35691.21472,0.976316498
Magallanes,Chile,14/11/2022 04:21,-52.368,-70.9863,64079,752,,,"Magallanes, Chile",38478.25956,1.173551397
Maule,Chile,14/11/2022 04:21,-35.5183,-71.6885,325984,3198,,,"Maule, Chile",31196.13379,0.981029744
Metropolitana,Chile,14/11/2022 04:21,-33.4376,-70.6505,1839033,30030,,,"Metropolitana, Chile",25855.23186,1.63292339
Nuble,Chile,14/11/2022 04:21,-36.7226,-71.7622,144532,1228,,,"Nuble, Chile",30072.67862,0.849638834
OHiggins,Chile,14/11/2022 04:21,-34.5755,-71.0022,206188,2725,,,"OHiggins, Chile",22545.17224,1.321609405
Tarapaca,Chile,14/11/2022 04:21,-19.9232,-69.5132,104749,1149,,,"Tarapaca, Chile",31688.53877,1.096907846
